CNPJ_FUNDO;CPF-PROPRIETARIO;FAT_ANUAL
19.527.532/0001-00;30624289;1499149
27.602.971/0001-68;30624372;2058035
03.235.471/0001-77;30624398;3092053
24.986.145/0001-71;30624437;2017910
04.627.323/0001-60;30624494;1721164
04.657.834/0001-25;30624512;1979725
12.468.337/0001-07;30624542;3142650
09.577.459/0001-27;30624552;1810085
13.294.661/0001-19;30624574;3340994
10.756.569/0001-35;30624603;2615755
04.428.527/0001-72;30624608;905911
14.843.717/0001-00;30624657;3029468
01.627.295/0001-93;30624661;1767114
02.764.937/0001-69;30624664;807177
13.401.215/0001-66;30624711;926588
06.095.361/0001-45;30624714;2798350
22.346.551/0001-44;30624717;941172
22.215.215/0001-62;30624827;1432549
23.238.450/0001-12;30624866;1293208
15.862.639/0001-53;30624868;1594257
28.039.263/0001-23;30624877;2093678
30.507.672/0001-59;30624895;2024272
18.153.799/0001-11;30624897;2906624
11.447.253/0001-24;30624905;1856582
23.883.391/0001-35;30624947;1935772
30.641.306/0001-98;30625045;706930
05.201.530/0001-11;30625058;1288408
16.590.458/0001-88;30625063;1280882
14.830.887/0001-50;30625133;2922296
12.660.456/0001-67;30625146;2934390
08.370.141/0001-08;30625151;1869272
10.347.282/0001-51;30625152;2231402
30.332.643/0001-01;30625161;1384430
09.329.721/0001-14;30625162;2126028
32.669.243/0001-03;30625205;797590
08.817.630/0001-65;30625206;1146572
11.995.270/0001-04;30625236;2668493
04.060.878/0001-73;30625273;1273500
26.648.852/0001-83;30625284;1255223
18.525.858/0001-35;30625323;2152236
09.326.704/0001-23;30625416;574869
10.601.479/0001-75;30625435;1378715
01.433.414/0001-77;30625619;3442462
13.333.985/0001-19;30625628;2438221
10.225.606/0001-89;30625649;582258
16.619.474/0001-56;30625674;1345694
20.468.448/0001-41;30625680;3085737
14.549.702/0001-33;30625690;1825312
18.364.675/0001-85;30625700;664188
23.955.939/0001-05;30625735;3396278
08.757.722/0001-05;30625741;2874944
05.362.609/0001-24;30625875;2012598
18.471.807/0001-78;30625897;1652566
08.784.703/0001-60;30625913;1760101
15.862.628/0001-73;30625924;2455706
27.974.862/0001-71;30626020;2367337
15.348.268/0001-96;30626081;1373054
10.347.312/0001-20;30626121;2127322
05.636.365/0001-20;30626177;2299380
07.732.303/0001-48;30626181;3332745
09.093.556/0001-44;30626231;1418544
10.459.391/0001-60;30626232;2766888
03.336.760/0001-62;30626240;835897
28.153.538/0001-55;30626255;1035377
26.199.519/0001-34;30626281;625660
13.410.986/0001-10;30626306;1273560
31.247.626/0001-20;30626434;3112979
11.911.506/0001-79;30626450;828261
26.305.921/0001-56;30626470;679236
09.606.247/0001-20;30626543;2194789
33.913.620/0001-70;30626639;1321034
06.234.282/0001-78;30626657;1220769
02.912.808/0001-70;30626667;2204140
02.498.092/0001-07;30626687;3415311
03.537.494/0001-36;30626696;675128
22.346.630/0001-55;30626702;591295
04.763.484/0001-81;30626785;614560
14.466.898/0001-00;30626885;2617646
18.543.673/0001-53;30626896;3053373
25.098.060/0001-10;30626983;2925545
30.038.289/0001-07;30627008;2238633
30.419.172/0001-65;30627057;672595
07.686.754/0001-96;30627134;2849883
21.329.174/0001-72;30627138;3338563
09.298.387/0001-89;30627141;750353
04.679.647/0001-42;30627147;811794
12.061.451/0001-18;30627156;3236932
01.170.961/0001-07;30627209;806098
28.153.556/0001-37;30627243;3411858
18.543.582/0001-18;30627252;594460
05.580.648/0001-06;30627272;2966185
08.915.207/0001-06;30627285;797133
06.190.299/0001-70;30627354;2755725
26.978.192/0001-07;30627374;1672614
02.888.033/0001-45;30627375;2727436
29.306.608/0001-20;30627417;2699380
07.364.788/0001-64;30627423;680945
13.417.122/0001-20;30627434;1888371
32.227.421/0001-46;30627440;2243023
30.190.210/0001-50;30627447;930060
10.590.125/0001-72;30627465;2203929
06.877.797/0001-96;30627532;861182
08.458.668/0001-99;30627560;2007900
05.629.935/0001-55;30627690;544808
00.540.923/0001-36;30627714;2927024
16.844.894/0001-36;30627738;1267422
26.218.334/0001-20;30627739;2170315
17.766.036/0001-83;30627772;832668
25.098.136/0001-07;30627778;2924750
05.700.965/0001-00;30627866;3053450
26.332.402/0001-87;30627879;3385990
01.978.445/0001-03;30627905;3468928
28.260.490/0001-84;30627924;2674400
03.432.201/0001-56;30627926;2664913
04.003.809/0001-28;30627951;3167208
29.853.075/0001-05;30627983;3343930
31.964.019/0001-81;30628021;2048521
30.453.601/0001-10;30628028;821068
18.368.524/0001-03;30628081;3446233
07.187.534/0001-18;30628086;3283279
13.169.224/0001-73;30628125;1600947
14.332.061/0001-60;30628161;2647124
11.138.945/0001-90;30628195;2505079
04.061.603/0001-54;30628199;2228327
13.333.994/0001-00;30628236;1517604
13.058.709/0001-90;30628271;1592738
22.014.290/0001-65;30628281;2432524
16.844.890/0001-58;30628406;2380223
21.992.510/0001-62;30628409;2364979
30.507.672/0001-59;30628423;1741573
29.275.256/0001-93;30628440;2130097
28.549.930/0001-18;30628453;1280907
23.884.678/0001-80;30628501;676868
15.821.229/0001-64;30628601;3078813
14.840.830/0001-31;30628606;1249480
18.570.652/0001-27;30628607;1063698
09.300.180/0001-00;30628698;2708924
31.341.341/0001-54;30628715;2214382
07.667.402/0001-93;30628726;3317627
18.466.245/0001-74;30628747;3112917
09.591.381/0001-03;30628809;2530308
11.138.905/0001-49;30628885;2606821
01.063.897/0001-65;30628950;785198
17.051.073/0001-05;30628953;2303439
10.387.913/0001-66;30628990;3032686
12.029.982/0001-23;30629004;1414371
20.006.240/0001-00;30629036;2445497
14.146.499/0001-54;30629039;2125610
07.830.071/0001-60;30629068;1491938
18.534.244/0001-10;30629112;2033011
31.248.283/0001-19;30629190;1213055
24.582.440/0001-62;30629247;1209949
18.816.180/0001-40;30629249;1995621
33.701.820/0001-60;30629260;1055257
05.656.546/0001-19;30629316;2807296
07.160.694/0001-73;30629320;1446493
09.273.545/0001-46;30629401;508399
11.690.182/0001-96;30629403;3171396
31.248.283/0001-19;30629428;1149482
07.936.595/0001-30;30629483;1183156
08.692.932/0001-54;30629485;2558807
14.565.686/0001-72;30629495;1253747
11.180.620/0001-76;30629506;2279328
07.364.744/0001-34;30629515;3347548
10.396.434/0001-06;30629519;1045215
18.602.544/0001-99;30629541;3075852
26.861.987/0001-22;30629554;2529574
07.496.013/0001-42;30629578;1487158
10.590.048/0001-50;30629607;2628790
20.824.465/0001-74;30629624;640635
16.858.911/0001-94;30629627;2427447
09.412.822/0001-54;30629631;1592672
03.069.104/0001-40;30629697;3203666
22.899.185/0001-50;30629704;2415522
32.312.121/0001-65;30629707;2094089
09.911.398/0001-92;30629732;2995070
05.117.982/0001-10;30629798;3140971
69.275.022/0001-60;30629820;2341407
02.293.873/0001-65;30629918;2991483
27.880.199/0001-46;30629935;3380836
08.140.032/0001-02;30629952;3467330
00.947.958/0001-94;30629996;1673440
28.075.501/0001-56;30630017;2113915
12.923.391/0001-03;30630091;3240848
28.069.743/0001-37;30630120;3462480
19.358.821/0001-22;30630121;2489551
22.652.095/0001-60;30630124;2376705
16.844.885/0001-45;30630208;980312
03.585.519/0001-77;30630354;3093501
11.817.183/0001-59;30630365;2595337
30.330.439/0001-43;30630440;679416
22.003.363/0001-13;30630451;1679118
09.121.886/0001-04;30630479;2089801
18.516.595/0001-06;30630483;2900713
15.731.496/0001-40;30630593;1770704
17.425.074/0001-72;30630601;3334084
22.032.175/0001-13;30630611;2392042
07.586.755/0001-69;30630618;2817521
08.279.508/0001-82;30630619;2588498
25.097.822/0001-63;30630635;2245085
24.248.280/0001-10;30630736;1661822
06.102.072/0001-26;30630742;2125812
28.580.823/0001-52;30630779;1854067
16.892.001/0001-28;30630831;3379265
24.248.263/0001-82;30630890;2623003
01.259.655/0001-41;30630900;571306
29.853.075/0001-05;30630906;1963456
20.030.720/0001-07;30630950;2378864
00.817.677/0001-17;30630958;2470368
23.029.109/0001-57;30630979;889761
02.010.172/0001-71;30631011;1058926
08.762.799/0001-65;30631025;1489484
06.222.043/0001-06;30631048;2128808
15.453.121/0001-66;30631066;3009741
05.892.577/0001-79;30631076;508502
14.472.938/0001-19;30631083;2378591
17.906.107/0001-04;30631128;1633088
16.524.591/0001-36;30631136;3349762
04.871.705/0001-35;30631138;613161
19.009.501/0001-67;30631196;2035793
06.878.679/0001-00;30631231;1147422
09.271.079/0001-60;30631254;1267714
67.979.187/0001-98;30631266;1523770
15.795.962/0001-51;30631383;3175212
18.570.676/0001-86;30631399;1446234
09.238.520/0001-01;30631429;3461742
31.392.261/0001-28;30631447;2696018
00.996.200/0001-46;30631458;508733
18.570.703/0001-10;30631481;1515659
31.217.173/0001-90;30631566;2983378
18.959.094/0001-96;30631573;2183770
25.246.617/0001-12;30631577;612285
26.343.799/0001-02;30631651;894339
11.209.091/0001-96;30631652;2557413
28.254.580/0001-62;30631691;873339
18.516.679/0001-31;30631705;2102149
08.741.774/0001-85;30631743;3341148
17.070.286/0001-84;30631815;3232948
30.378.594/0001-30;30631839;2521141
04.451.473/0001-66;30631879;1635542
12.082.911/0001-94;30631883;1565460
04.874.810/0001-28;30631897;2893139
28.039.276/0001-00;30631931;3413262
15.616.514/0001-43;30632044;3233043
01.597.021/0001-07;30632058;1274484
30.509.213/0001-04;30632087;889166
09.606.154/0001-04;30632116;736264
05.317.236/0001-70;30632124;2076012
22.041.216/0001-38;30632147;1572751
27.880.199/0001-46;30632215;1604166
22.809.093/0001-32;30632226;2250305
10.489.004/0001-39;30632313;1753431
09.564.052/0001-65;30632318;1367666
17.330.191/0001-52;30632338;3432116
30.057.898/0001-03;30632356;3118510
10.489.208/0001-70;30632429;3049989
21.556.491/0001-21;30632450;963125
09.613.193/0001-20;30632471;1108380
13.747.014/0001-15;30632478;3422014
28.274.079/0001-68;30632499;3415233
08.434.493/0001-80;30632505;517150
27.477.172/0001-07;30632514;1969795
04.418.519/0001-45;30632521;1892933
07.722.329/0001-05;30632556;2404872
18.141.586/0001-70;30632561;768268
32.355.595/0001-94;30632601;782236
11.184.241/0001-54;30632622;1927790
09.650.142/0001-79;30632661;3045163
09.606.239/0001-84;30632674;1417239
05.945.777/0001-42;30632685;2402898
07.830.054/0001-23;30632779;2527642
07.535.821/0001-71;30632806;2371525
14.053.044/0001-94;30632814;3119014
10.949.408/0001-68;30632844;1054602
08.828.983/0001-60;30632894;1954600
04.703.014/0001-22;30632895;3164680
26.687.437/0001-39;30632916;3366083
08.661.342/0001-64;30632929;903736
26.343.771/0001-75;30632931;2107362
12.610.779/0001-46;30632939;1287781
05.808.858/0001-09;30632987;2601366
15.797.487/0001-52;30632990;2438399
30.332.800/0001-70;30632992;2069255
02.198.411/0001-69;30633009;1494870
16.924.919/0001-01;30633037;1209245
04.806.420/0001-10;30633039;1830437
71.586.630/0001-38;30633044;3073324
08.822.646/0001-66;30633047;885303
19.531.864/0001-68;30633074;1450859
09.327.477/0001-50;30633095;781012
11.403.809/0001-80;30633121;727177
04.816.803/0001-70;30633130;2294760
11.858.614/0001-25;30633146;1846013
14.302.838/0001-44;30633179;2925446
27.762.340/0001-06;30633197;2493760
18.628.948/0001-51;30633252;2686226
00.322.706/0001-70;30633298;2649525
08.533.951/0001-38;30633324;2571588
12.795.869/0001-59;30633411;621993
33.150.563/0001-15;30633444;2632451
32.065.041/0001-52;30633453;1963614
95.662.625/0001-25;30633458;1971881
17.703.320/0001-00;30633473;3387205
04.838.655/0001-94;30633487;2642543
02.910.692/0001-30;30633497;1370604
26.673.536/0001-61;30633533;2647937
05.091.439/0001-90;30633539;747131
32.890.801/0001-66;30633579;2475294
13.083.213/0001-76;30633612;922056
12.441.543/0001-23;30633646;3234426
15.435.440/0001-49;30633668;2831200
00.857.143/0001-14;30633676;2935750
27.146.894/0001-89;30633684;657955
33.146.175/0001-60;30633752;2430565
20.983.058/0001-00;30633781;2392990
28.788.541/0001-45;30633828;753222
28.075.193/0001-69;30633848;2728790
18.538.594/0001-54;30633854;2190454
17.703.461/0001-23;30633866;2036275
08.906.948/0001-12;30633890;2878233
11.490.626/0001-40;30633891;2778347
05.138.927/0001-06;30633902;1242833
11.286.385/0001-11;30633909;734553
09.021.872/0001-00;30634013;1285164
23.781.384/0001-22;30634039;1826204
17.421.951/0001-37;30634061;1796213
08.904.069/0001-51;30634062;764976
06.127.969/0001-04;30634072;2638999
01.424.041/0001-78;30634077;1780967
05.427.153/0001-33;30634091;3073425
12.915.218/0001-55;30634096;2584924
08.170.125/0001-71;30634104;625323
27.477.143/0001-45;30634120;2536192
19.556.520/0001-03;30634147;1413123
00.822.339/0001-73;30634169;2824892
08.254.183/0001-83;30634181;3131083
21.219.205/0001-32;30634234;2083957
03.381.358/0001-08;30634241;867548
13.442.691/0001-25;30634259;2180183
12.105.992/0001-09;30634269;2321125
08.696.424/0001-44;30634272;1917137
21.254.851/0001-30;30634384;1248374
25.681.960/0001-95;30634470;2362357
28.881.093/0001-20;30634507;651695
19.831.152/0001-64;30634520;921503
22.504.045/0001-36;30634522;1116220
13.294.671/0001-54;30634524;998527
03.888.387/0001-52;30634538;3070728
08.202.253/0001-50;30634631;2253007
06.037.654/0001-76;30634644;2388151
00.415.246/0001-24;30634669;2593314
20.018.798/0001-06;30634675;1700499
11.419.913/0001-63;30634683;1612407
23.748.529/0001-93;30634731;1402224
26.343.768/0001-51;30634733;894634
28.651.550/0001-90;30634749;3292218
23.883.419/0001-34;30634766;705153
07.996.021/0001-58;30634777;2391185
27.036.423/0001-18;30634789;1462651
20.216.301/0001-64;30634832;2882718
16.478.741/0001-12;30634921;768351
14.421.922/0001-87;30634926;1672369
12.904.552/0001-03;30634970;1051620
21.724.128/0001-78;30634985;3074018
12.105.992/0001-09;30634996;1767167
20.216.301/0001-64;30634999;3208171
14.491.652/0001-80;30635080;2299232
20.889.355/0001-90;30635082;1883701
26.322.175/0001-09;30635106;3222041
29.045.652/0001-24;30635149;514638
17.340.392/0001-30;30635162;3299166
16.877.476/0001-45;30635177;2274669
04.745.696/0001-36;30635210;3448029
03.492.861/0001-22;30635236;3392878
27.328.643/0001-15;30635245;2593321
09.125.007/0001-04;30635268;1501459
05.803.578/0001-08;30635391;1395264
00.857.142/0001-70;30635408;1755448
26.745.153/0001-51;30635451;2951931
17.054.193/0001-66;30635512;1420012
05.903.132/0001-47;30635540;533767
13.094.660/0001-20;30635607;1025574
07.885.867/0001-10;30635640;1734430
19.587.206/0001-98;30635661;2938913
09.260.394/0001-91;30635663;1877245
04.356.323/0001-73;30635751;2433815
20.006.262/0001-70;30635778;798338
17.433.059/0001-76;30635823;1767940
09.315.598/0001-82;30635857;1597020
13.294.396/0001-79;30635934;1588235
09.260.402/0001-08;30635960;918915
22.188.128/0001-63;30635964;905855
24.986.683/0001-66;30635982;2954332
13.812.147/0001-28;30635996;751014
10.361.853/0001-02;30636012;2383562
28.289.146/0001-18;30636024;3485552
27.879.995/0001-69;30636050;870876
23.281.771/0001-08;30636066;1917472
09.525.187/0001-11;30636137;3251587
17.998.214/0001-00;30636146;1549042
06.242.751/0001-09;30636152;2565582
09.321.538/0001-72;30636168;1237115
14.466.945/0001-08;30636193;1383868
26.795.132/0001-40;30636208;2953623
04.342.467/0001-70;30636221;1955884
17.517.506/0001-75;30636274;3471535
09.478.646/0001-53;30636281;945326
06.916.384/0001-73;30636342;1816491
12.061.270/0001-91;30636363;1215097
21.596.743/0001-46;30636370;850093
00.756.851/0001-69;30636374;2897452
12.030.456/0001-83;30636393;791824
28.856.772/0001-49;30636397;2274052
04.871.799/0001-42;30636428;2452071
05.018.057/0001-31;30636472;1533163
04.871.799/0001-42;30636525;2780201
06.900.968/0001-50;30636614;1573546
23.034.829/0001-00;30636626;3245773
04.003.722/0001-50;30636653;688908
20.057.795/0001-81;30636721;2727537
05.222.506/0001-69;30636734;1317340
03.589.391/0001-10;30636784;1623456
11.961.187/0001-06;30636791;2363327
07.280.433/0001-97;30636846;1778726
27.879.995/0001-69;30636849;3256198
15.477.864/0001-76;30636855;1815934
07.098.268/0001-57;30636857;1465628
28.254.557/0001-78;30636902;1697045
07.096.247/0001-00;30636904;1843587
28.022.008/0001-78;30636963;3476827
29.319.013/0001-00;30636971;1836488
27.591.084/0001-31;30637031;3486144
32.064.780/0001-20;30637042;1121166
08.767.805/0001-77;30637044;2661403
04.187.006/0001-70;30637088;3135776
09.151.312/0001-70;30637116;706273
09.412.648/0001-40;30637127;845340
05.615.436/0001-09;30637177;904501
03.697.441/0001-82;30637204;3235524
08.636.744/0001-09;30637240;3066342
06.110.740/0001-67;30637268;1818089
24.986.097/0001-11;30637280;3419273
18.598.908/0001-04;30637348;2586118
33.149.272/0001-07;30637354;1482669
10.237.459/0001-67;30637400;1890752
09.075.507/0001-89;30637463;2385639
33.388.816/0001-93;30637495;3234899
34.096.201/0001-56;30637642;995894
28.470.590/0001-35;30637655;1830221
04.192.641/0001-46;30637678;2613568
17.447.468/0001-21;30637705;1413312
09.635.840/0001-03;30637732;3062673
10.705.306/0001-05;30637824;3279333
22.187.973/0001-14;30637868;1001175
33.737.083/0001-55;30637901;1388608
08.468.592/0001-82;30637907;1703422
09.453.921/0001-84;30637939;2948528
11.702.108/0001-42;30637940;2567947
97.929.197/0001-80;30637991;1555763
05.380.745/0001-47;30638045;1977351
07.336.726/0001-49;30638055;2667111
06.237.589/0001-22;30638059;3363174
15.715.084/0001-17;30638100;2465541
31.594.549/0001-85;30638207;2696173
25.681.210/0001-13;30638208;1883340
30.887.048/0001-24;30638237;1226881
01.691.622/0001-76;30638246;1581812
01.508.152/0001-62;30638250;2080225
01.656.839/0001-45;30638267;2566400
13.958.710/0001-70;30638272;2265771
19.009.580/0001-06;30638315;3028335
14.707.564/0001-73;30638321;1093673
06.866.874/0001-02;30638382;726767
03.259.646/0001-86;30638430;2073151
13.614.752/0001-94;30638438;1370944
10.883.290/0001-12;30638512;2965219
12.082.982/0001-97;30638520;1525362
07.096.243/0001-14;30638533;1490691
19.712.713/0001-06;30638584;2955592
07.290.938/0001-32;30638596;831787
20.628.606/0001-83;30638628;2424373
19.442.634/0001-22;30638724;2663125
11.419.970/0001-42;30638783;2867267
28.039.271/0001-70;30638802;1635445
04.942.067/0001-04;30638812;2972333
29.993.554/0001-19;30638906;2889457
33.499.696/0001-00;30638928;3412157
11.432.857/0001-05;30638932;1680593
29.905.067/0001-57;30639048;1713072
11.128.848/0001-17;30639062;1642383
08.244.034/0001-33;30639072;2829728
08.927.396/0001-29;30639091;3166134
17.797.426/0001-10;30639167;3429506
11.920.580/0001-51;30639179;1887387
04.082.477/0001-14;30639185;3140831
09.911.392/0001-15;30639227;518152
12.581.135/0001-77;30639268;2688109
26.861.899/0001-20;30639285;2727501
33.520.884/0001-64;30639289;1781208
21.287.514/0001-40;30639307;1049978
07.663.554/0001-18;30639320;1377428
12.468.325/0001-82;30639392;2173042
27.933.923/0001-52;30639405;2821728
09.288.254/0001-21;30639423;1806668
10.787.006/0001-04;30639426;2023157
17.329.768/0001-06;30639441;2001910
08.828.855/0001-17;30639448;1374158
00.832.424/0001-12;30639455;1072586
10.457.948/0001-24;30639499;2140823
17.408.524/0001-19;30639502;1142608
13.417.147/0001-23;30639510;2617972
18.814.940/0001-80;30639523;1628147
13.083.220/0001-78;30639577;2591560
16.478.736/0001-00;30639600;3320865
18.848.749/0001-59;30639618;1426796
08.989.689/0001-30;30639723;2367458
28.047.011/0001-46;30639762;859046
04.068.363/0001-10;30639792;1275445
25.682.008/0001-06;30639813;529703
08.960.563/0001-33;30639819;908925
04.293.793/0001-35;30639830;2044476
30.520.809/0001-05;30639840;2545422
05.564.640/0001-48;30639907;1444966
08.944.907/0001-10;30639948;2496695
28.951.307/0001-97;30640021;2185445
32.774.783/0001-57;30640057;2757005
10.626.025/0001-59;30640070;2558164
10.199.937/0001-91;30640122;2412856
04.299.610/0001-99;30640145;1786907
15.912.235/0001-27;30640153;3435819
08.822.650/0001-24;30640185;1287278
11.616.504/0001-57;30640201;1566641
07.936.663/0001-61;30640349;920500
32.773.105/0001-70;30640368;1915582
05.774.966/0001-08;30640385;2896558
08.949.723/0001-43;30640433;2354876
33.784.170/0001-63;30640473;2584396
10.705.344/0001-50;30640501;2193721
07.096.235/0001-78;30640552;2835096
18.994.125/0001-40;30640565;2351570
30.129.215/0001-78;30640572;801205
20.226.378/0001-15;30640577;3075700
18.926.874/0001-30;30640586;3427148
05.920.052/0001-08;30640587;3092659
30.032.131/0001-11;30640626;2581669
12.483.827/0001-82;30640637;2924264
07.663.659/0001-77;30640639;1584766
08.699.519/0001-11;30640644;3061376
05.595.048/0001-03;30640674;1646540
11.902.276/0001-81;30640732;516080
33.146.649/0001-74;30640791;1759491
30.567.335/0001-57;30640795;2089869
08.765.648/0001-60;30640830;753096
11.977.622/0001-90;30640845;657355
04.224.445/0001-06;30640859;1331849
09.497.461/0001-96;30640860;2627457
08.448.710/0001-90;30640867;2865051
11.863.282/0001-77;30640888;2345195
04.494.289/0001-01;30640948;2660589
22.809.166/0001-96;30640954;801750
11.859.344/0001-77;30640977;1541553
02.934.360/0001-96;30640978;1874203
15.109.352/0001-57;30641003;1958190
28.970.859/0001-42;30641111;1950126
26.362.535/0001-04;30641117;3060562
04.703.087/0001-14;30641124;1765031
05.595.359/0001-72;30641169;1811793
20.335.522/0001-51;30641171;1581179
28.321.101/0001-83;30641198;1758532
13.812.411/0001-23;30641223;2081511
11.203.279/0001-27;30641232;665210
28.286.936/0001-40;30641371;895783
28.568.701/0001-40;30641407;2000019
10.786.919/0001-06;30641424;1953255
09.271.116/0001-30;30641478;1440644
21.964.685/0001-66;30641499;1422989
32.273.540/0001-35;30641505;3420159
26.631.542/0001-56;30641510;1181403
23.339.865/0001-82;30641532;769491
28.280.991/0001-22;30641563;2870921
13.812.165/0001-00;30641565;3452434
22.344.834/0001-57;30641654;3282850
25.306.476/0001-86;30641676;1590445
30.129.232/0001-05;30641748;3369238
29.177.909/0001-00;30641850;2089044
11.128.848/0001-17;30641891;1911486
29.905.067/0001-57;30641927;2848264
18.197.429/0001-86;30641950;915098
31.608.459/0001-04;30641952;1521420
23.339.962/0001-75;30641971;911203
11.419.811/0001-48;30641995;2735384
14.146.748/0001-01;30642093;1840764
09.021.995/0001-41;30642099;1133058
14.049.207/0001-65;30642120;3018922
21.261.336/0001-88;30642200;893621
08.744.670/0001-24;30642211;1663788
03.589.367/0001-80;30642212;2335374
15.452.951/0001-79;30642214;2062389
12.282.660/0001-91;30642291;2567241
18.298.420/0001-61;30642339;2430275
21.219.123/0001-98;30642367;512676
17.990.507/0001-32;30642381;1966945
23.234.155/0001-98;30642437;1984580
11.461.637/0001-00;30642469;2851969
29.109.254/0001-24;30642484;553471
10.447.046/0001-07;30642499;1854570
30.566.221/0001-92;30642506;888073
12.483.817/0001-47;30642512;739266
31.248.110/0001-09;30642537;1778468
13.962.947/0001-25;30642556;3047621
28.703.554/0001-74;30642566;1688529
10.985.527/0001-76;30642608;1800129
26.419.981/0001-08;30642645;1522869
25.340.981/0001-47;30642713;876550
07.838.731/0001-50;30642714;1176077
17.518.958/0001-71;30642726;565565
08.418.397/0001-48;30642735;1288597
09.083.964/0001-15;30642799;2207170
07.322.840/0001-10;30642811;795772
33.255.042/0001-22;30642824;2142111
13.651.953/0001-61;30642880;2731779
04.119.128/0001-20;30642892;1628076
13.401.451/0001-82;30642938;2448971
08.510.341/0001-19;30642994;1541943
26.698.223/0001-68;30642996;1358594
30.351.349/0001-39;30643126;894680
26.740.626/0001-28;30643158;2799513
08.703.063/0001-16;30643163;2888083
09.536.225/0001-31;30643190;1943371
07.187.474/0001-33;30643209;771177
11.451.205/0001-00;30643210;1823327
12.960.221/0001-90;30643212;3474427
08.035.679/0001-66;30643223;2889223
31.666.700/0001-43;30643269;1080362
08.830.071/0001-23;30643301;2029573
13.588.349/0001-38;30643426;3441643
17.054.200/0001-20;30643439;2942813
31.008.475/0001-58;30643472;2825759
15.453.395/0001-55;30643489;705583
11.859.373/0001-39;30643507;1573506
21.006.947/0001-80;30643510;1608403
08.904.080/0001-11;30643564;1986065
10.565.870/0001-61;30643575;2748689
13.950.109/0001-31;30643582;921040
09.343.861/0001-47;30643594;2624780
28.788.501/0001-01;30643603;3326113
07.861.540/0001-09;30643617;719576
03.394.711/0001-86;30643634;1749592
31.441.378/0001-54;30643751;2001817
30.910.166/0001-06;30643776;2655207
31.611.348/0001-49;30643829;2096611
05.902.505/0001-65;30643830;2929108
09.051.683/0001-80;30643949;2581808
07.996.026/0001-80;30643981;1680550
11.959.662/0001-00;30643986;1951541
11.714.819/0001-37;30643990;1008197
09.032.880/0001-52;30644010;3318613
09.589.085/0001-60;30644017;1484954
09.143.351/0001-26;30644028;2489169
12.013.940/0001-02;30644060;1960234
09.215.284/0001-08;30644108;823701
04.658.679/0001-61;30644134;2728822
15.175.708/0001-50;30644177;3465228
25.317.103/0001-00;30644230;3251289
24.552.905/0001-32;30644293;2941668
06.170.676/0001-00;30644322;2956150
32.064.950/0001-76;30644386;1077258
00.975.485/0001-39;30644400;2093513
11.121.978/0001-28;30644434;2923774
